adm1_pcode,adm1_en,adm0_pcode
PH01,Region I (Ilocos Region),PH
PH02,Region II (Cagayan Valley),PH
PH03,Region III (Central Luzon),PH
PH04,Region IV-A (Calabarzon),PH
PH05,Region V (Bicol Region),PH
PH06,Region VI (Western Visayas),PH
PH07,Region VII (Central Visayas),PH
PH08,Region VIII (Eastern Visayas),PH
PH09,Region IX (Zamboanga Peninsula),PH
PH10,Region X (Northern Mindanao),PH
PH11,Region XI (Davao Region),PH
PH12,Region XII (Soccsksargen),PH
PH13,National Capital Region (NCR),PH
PH14,Cordillera Administrative Region (CAR),PH
PH16,Region XIII (Caraga),PH
PH17,Mimaropa Region,PH
PH19,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH
