adm3_pcode,adm3_en,adm2_pcode
PH0102801,Adams,PH01028
PH0102802,Bacarra,PH01028
PH0102803,Badoc,PH01028
PH0102804,Bangui,PH01028
PH0102805,City of Batac,PH01028
PH0102806,Burgos,PH01028
PH0102807,Carasi,PH01028
PH0102808,Currimao,PH01028
PH0102809,Dingras,PH01028
PH0102810,Dumalneg,PH01028
PH0102811,Banna (Espiritu),PH01028
PH0102812,Laoag City (Capital),PH01028
PH0102813,Marcos,PH01028
PH0102814,Nueva Era,PH01028
PH0102815,Pagudpud,PH01028
PH0102816,Paoay,PH01028
PH0102817,Pasuquin,PH01028
PH0102818,Piddig,PH01028
PH0102819,Pinili,PH01028
PH0102820,San Nicolas,PH01028
PH0102821,Sarrat,PH01028
PH0102822,Solsona,PH01028
PH0102823,Vintar,PH01028
PH0102901,Alilem,PH01029
PH0102902,Banayoyo,PH01029
PH0102903,Bantay,PH01029
PH0102904,Burgos,PH01029
PH0102905,Cabugao,PH01029
PH0102906,City of Candon,PH01029
PH0102907,Caoayan,PH01029
PH0102908,Cervantes,PH01029
PH0102909,Galimuyod,PH01029
PH0102910,Gregorio del Pilar (Concepcion),PH01029
PH0102911,Lidlidda,PH01029
PH0102912,Magsingal,PH01029
PH0102913,Nagbukel,PH01029
PH0102914,Narvacan,PH01029
PH0102915,Quirino (Angkaki),PH01029
PH0102916,Salcedo (Baugen),PH01029
PH0102917,San Emilio,PH01029
PH0102918,San Esteban,PH01029
PH0102919,San Ildefonso,PH01029
PH0102920,San Juan (Lapog),PH01029
PH0102921,San Vicente,PH01029
PH0102922,Santa,PH01029
PH0102923,Santa Catalina,PH01029
PH0102924,Santa Cruz,PH01029
PH0102925,Santa Lucia,PH01029
PH0102926,Santa Maria,PH01029
PH0102927,Santiago,PH01029
PH0102928,Santo Domingo,PH01029
PH0102929,Sigay,PH01029
PH0102930,Sinait,PH01029
PH0102931,Sugpon,PH01029
PH0102932,Suyo,PH01029
PH0102933,Tagudin,PH01029
PH0102934,City of Vigan (Capital),PH01029
PH0103301,Agoo,PH01033
PH0103302,Aringay,PH01033
PH0103303,Bacnotan,PH01033
PH0103304,Bagulin,PH01033
PH0103305,Balaoan,PH01033
PH0103306,Bangar,PH01033
PH0103307,Bauang,PH01033
PH0103308,Burgos,PH01033
PH0103309,Caba,PH01033
PH0103310,Luna,PH01033
PH0103311,Naguilian,PH01033
PH0103312,Pugo,PH01033
PH0103313,Rosario,PH01033
PH0103314,City of San Fernando (Capital),PH01033
PH0103315,San Gabriel,PH01033
PH0103316,San Juan,PH01033
PH0103317,Santo Tomas,PH01033
PH0103318,Santol,PH01033
PH0103319,Sudipen,PH01033
PH0103320,Tubao,PH01033
PH0105501,Agno,PH01055
PH0105502,Aguilar,PH01055
PH0105503,City of Alaminos,PH01055
PH0105504,Alcala,PH01055
PH0105505,Anda,PH01055
PH0105506,Asingan,PH01055
PH0105507,Balungao,PH01055
PH0105508,Bani,PH01055
PH0105509,Basista,PH01055
PH0105510,Bautista,PH01055
