adm4_pcode,adm4_en,adm3_pcode
PH0102801001,Adams (Pob.),PH0102801
PH0102802001,Bani,PH0102802
PH0102802002,Buyon,PH0102802
PH0102802003,Cabaruan,PH0102802
PH0102802004,Cabulalaan,PH0102802
PH0102802005,Cabusligan,PH0102802
PH0102802006,Cadaratan,PH0102802
PH0102802007,Calioet-Libong,PH0102802
PH0102802008,Casilian,PH0102802
PH0102802009,Corocor,PH0102802
PH0102802011,Duripes,PH0102802
PH0102802012,Ganagan,PH0102802
PH0102802013,Libtong,PH0102802
PH0102802014,Macupit,PH0102802
PH0102802015,Nambaran,PH0102802
PH0102802016,Natba,PH0102802
PH0102802017,Paninaan,PH0102802
PH0102802018,Pasiocan,PH0102802
PH0102802019,Pasngal,PH0102802
PH0102802020,Pipias,PH0102802
PH0102802021,Pulangi,PH0102802
PH0102802022,Pungto,PH0102802
PH0102802024,San Agustin I (Pob.),PH0102802
PH0102802025,San Agustin II (Pob.),PH0102802
PH0102802027,San Andres I (Pob.),PH0102802
PH0102802028,San Andres II (Pob.),PH0102802
PH0102802030,San Gabriel I (Pob.),PH0102802
PH0102802031,San Gabriel II (Pob.),PH0102802
PH0102802033,San Pedro I (Pob.),PH0102802
PH0102802034,San Pedro II (Pob.),PH0102802
PH0102802036,San Roque I (Pob.),PH0102802
PH0102802037,San Roque II (Pob.),PH0102802
PH0102802039,San Simon I (Pob.),PH0102802
PH0102802040,San Simon II (Pob.),PH0102802
PH0102802041,San Vicente (Pob.),PH0102802
PH0102802042,Sangil,PH0102802
PH0102802044,Santa Filomena I (Pob.),PH0102802
PH0102802045,Santa Filomena II (Pob.),PH0102802
PH0102802046,Santa Rita (Pob.),PH0102802
PH0102802047,Santo Cristo I (Pob.),PH0102802
PH0102802048,Santo Cristo II (Pob.),PH0102802
PH0102802050,Tambidao,PH0102802
PH0102802051,Teppang,PH0102802
PH0102802052,Tubburan,PH0102802
PH0102803001,Alay-Nangbabaan (Alay 15-B),PH0102803
PH0102803002,Alogoog,PH0102803
PH0102803003,Ar-arusip,PH0102803
PH0102803004,Aring,PH0102803
PH0102803005,Balbaldez,PH0102803
PH0102803006,Bato,PH0102803
PH0102803007,Camanga,PH0102803
PH0102803008,Canaan (Pob.),PH0102803
PH0102803009,Caraitan,PH0102803
PH0102803011,Gabut Norte,PH0102803
PH0102803012,Gabut Sur,PH0102803
PH0102803013,Garreta (Pob.),PH0102803
PH0102803016,Labut,PH0102803
PH0102803017,Lacuben,PH0102803
PH0102803018,Lubigan,PH0102803
PH0102803020,Mabusag Norte,PH0102803
PH0102803021,Mabusag Sur,PH0102803
PH0102803022,Madupayas,PH0102803
PH0102803023,Morong,PH0102803
PH0102803025,Nagrebcan,PH0102803
PH0102803026,Napu,PH0102803
PH0102803027,La Virgen Milagrosa (Paguetpet),PH0102803
PH0102803028,Pagsanahan Norte,PH0102803
PH0102803029,Pagsanahan Sur,PH0102803
PH0102803030,Paltit,PH0102803
PH0102803031,Parang,PH0102803
PH0102803032,Pasuc,PH0102803
PH0102803034,Santa Cruz Norte,PH0102803
PH0102803035,Santa Cruz Sur,PH0102803
PH0102803036,Saud,PH0102803
PH0102803037,Turod,PH0102803
PH0102804001,Abaca,PH0102804
PH0102804002,Bacsil,PH0102804
PH0102804003,Banban,PH0102804
PH0102804004,Baruyen,PH0102804
PH0102804005,Dadaor,PH0102804
PH0102804006,Lanao,PH0102804
PH0102804007,Malasin,PH0102804
PH0102804008,Manayon,PH0102804
PH0102804009,Masikil,PH0102804
PH0102804010,Nagbalagan,PH0102804
PH0102804011,Payac,PH0102804
PH0102804012,San Lorenzo (Pob.),PH0102804
PH0102804014,Taguiporo,PH0102804
PH0102804015,Utol,PH0102804
PH0102805001,Aglipay (Pob.),PH0102805
PH0102805002,Baay,PH0102805
PH0102805003,Baligat,PH0102805
PH0102805004,Bungon,PH0102805
PH0102805005,Baoa East,PH0102805
PH0102805006,Baoa West,PH0102805
PH0102805007,Barani (Pob.),PH0102805
PH0102805009,Ben-agan (Pob.),PH0102805
PH0102805010,Bil-loca,PH0102805
PH0102805011,Biningan,PH0102805
PH0102805012,Callaguip (Pob.),PH0102805
PH0102805013,Camandingan,PH0102805
PH0102805014,Camguidan,PH0102805
PH0102805015,Cangrunaan (Pob.),PH0102805
PH0102805016,Capacuan,PH0102805
PH0102805017,Caunayan (Pob.),PH0102805
PH0102805018,Valdez Pob. (Caoayan),PH0102805
PH0102805019,Colo,PH0102805
PH0102805020,Pimentel (Cubol),PH0102805
PH0102805021,Dariwdiw,PH0102805
PH0102805022,Acosta Pob. (Iloilo),PH0102805
PH0102805023,Ablan Pob. (Labucao),PH0102805
PH0102805024,Lacub (Pob.),PH0102805
PH0102805025,Mabaleng,PH0102805
PH0102805026,Magnuang,PH0102805
PH0102805027,Maipalig,PH0102805
PH0102805028,Nagbacalan,PH0102805
PH0102805029,Naguirangan,PH0102805
PH0102805030,Ricarte Pob. (Nalasin),PH0102805
PH0102805031,Palongpong,PH0102805
PH0102805032,Palpalicong (Pob.),PH0102805
PH0102805033,Parangopong,PH0102805
PH0102805034,Payao,PH0102805
PH0102805035,Quiling Norte,PH0102805
PH0102805036,Quiling Sur,PH0102805
PH0102805037,Quiom,PH0102805
PH0102805038,Rayuray,PH0102805
PH0102805039,San Julian (Pob.),PH0102805
PH0102805040,San Mateo,PH0102805
PH0102805041,San Pedro,PH0102805
PH0102805042,Suabit (Pob.),PH0102805
PH0102805043,Sumader,PH0102805
PH0102805044,Tabug,PH0102805
PH0102806001,Ablan Sarat,PH0102806
PH0102806002,Agaga,PH0102806
PH0102806005,Bayog,PH0102806
PH0102806006,Bobon,PH0102806
PH0102806007,Buduan (Malituek),PH0102806
PH0102806008,Nagsurot,PH0102806
PH0102806009,Paayas,PH0102806
PH0102806010,Pagali,PH0102806
PH0102806011,Poblacion,PH0102806
PH0102806013,Saoit,PH0102806
PH0102806014,Tanap,PH0102806
PH0102807001,Angset,PH0102807
PH0102807003,Barbaqueso (Pob.),PH0102807
PH0102807004,Virbira,PH0102807
PH0102808001,Anggapang Norte,PH0102808
PH0102808002,Anggapang Sur,PH0102808
PH0102808003,Bimmanga,PH0102808
PH0102808004,Cabuusan,PH0102808
PH0102808005,Comcomloong,PH0102808
PH0102808006,Gaang,PH0102808
PH0102808007,Lang-ayan-Baramban,PH0102808
PH0102808008,Lioes,PH0102808
PH0102808009,Maglaoi Centro,PH0102808
PH0102808010,Maglaoi Norte,PH0102808
PH0102808011,Maglaoi Sur,PH0102808
PH0102808013,Paguludan-Salindeg,PH0102808
PH0102808014,Pangil,PH0102808
PH0102808015,Pias Norte,PH0102808
PH0102808016,Pias Sur,PH0102808
PH0102808017,Poblacion I,PH0102808
PH0102808018,Poblacion II,PH0102808
PH0102808019,Salugan,PH0102808
PH0102808020,San Simeon,PH0102808
PH0102808021,Santa Cruz,PH0102808
PH0102808022,Tapao-Tigue,PH0102808
PH0102808023,Torre,PH0102808
PH0102808024,Victoria,PH0102808
PH0102809001,Albano (Pob.),PH0102809
PH0102809002,Bacsil,PH0102809
PH0102809003,Bagut,PH0102809
PH0102809004,Parado (Bangay),PH0102809
PH0102809005,Baresbes,PH0102809
PH0102809006,Barong,PH0102809
PH0102809007,Bungcag,PH0102809
PH0102809009,Cali,PH0102809
PH0102809010,Capasan,PH0102809
PH0102809011,Dancel (Pob.),PH0102809
PH0102809012,Foz,PH0102809
PH0102809013,Guerrero (Pob.),PH0102809
PH0102809014,Lanas,PH0102809
PH0102809015,Lumbad,PH0102809
PH0102809016,Madamba (Pob.),PH0102809
PH0102809017,Mandaloque,PH0102809
PH0102809018,Medina,PH0102809
PH0102809019,Ver (Naglayaan),PH0102809
PH0102809020,San Marcelino (Padong),PH0102809
PH0102809021,Puruganan (Pob.),PH0102809
PH0102809022,Peralta (Pob.),PH0102809
PH0102809023,Root (Baldias),PH0102809
PH0102809024,Sagpatan,PH0102809
PH0102809025,Saludares,PH0102809
PH0102809026,San Esteban,PH0102809
PH0102809027,Espiritu,PH0102809
PH0102809028,Sulquiano (Sidiran),PH0102809
PH0102809029,San Francisco (Surrate),PH0102809
PH0102809030,Suyo,PH0102809
PH0102809031,San Marcos,PH0102809
PH0102809032,Elizabeth,PH0102809
PH0102810001,Cabaritan (Dumalneg),PH0102810
PH0102810002,San Isidro,PH0102810
PH0102810003,Kalaw (Dumalneg),PH0102810
PH0102810004,Quibel (Dumalneg),PH0102810
PH0102811001,Balioeg,PH0102811
PH0102811002,Bangsar,PH0102811
PH0102811003,Barbarangay,PH0102811
PH0102811004,Bomitog,PH0102811
PH0102811005,Bugasi,PH0102811
PH0102811006,Caestebanan,PH0102811
